ruas,kepemilikan,stroke,WKT
Jalan Pajajaran,Nasional,#ff0000,"LINESTRING (107.575137019157 -6.90398563623154,107.575818300247 -6.9039084161774,107.576499581337 -6.90381521954355,107.577867507935 -6.90357557097223,107.5803861022 -6.90433179494008,107.582875192165 -6.90510133146948,107.583577930927 -6.90527441044727,107.585847079754 -6.90603329444859,107.587196230888 -6.9065605184065,107.587805092335 -6.90676554978699,107.588601708412 -6.90687205955996,107.589395642281 -6.90694395364315,107.590720653534 -6.90707975354827,107.590994238853 -6.90709306726235,107.592112720013 -6.90718360050821,107.593641579151 -6.90690134974331,107.594561576843 -6.90681081644342,107.595221400261 -6.90671495763643,107.595838308334 -6.90659247135476,107.595991194248 -6.90660045959149,107.596809267998 -6.90650193799575,107.597190141678 -6.90648329877262,107.597552239895 -6.90648329877262,107.597643435001 -6.90643803208484,107.598297894001 -6.90668566744151,107.598839700222 -6.90675489880837,107.600084245205 -6.90688537327989,107.601301968098 -6.90698655753914,107.602517008781 -6.90707709080539,107.603477239609 -6.90714099662996,107.603954672813 -6.90717561228133,107.604440152645 -6.90716762405432,107.605293095112 -6.90715431034233,107.606129944324 -6.90716496131195,107.606634199619 -6.90724750631839,107.607363760471 -6.90767354483222)"
Jalan Pasteur - Cibiru,Nasional,#ff0000,"LINESTRING (107.581153213978 -6.89215218171214,107.581786215305 -6.89223739216221,107.582140266895 -6.89225603194611,107.583143413067 -6.89222141520398,107.583695948124 -6.89224804346739,107.584186792374 -6.8923172769452,107.584650814533 -6.89241580149239,107.585165798664 -6.89262083899787,107.585914134979 -6.89303091374273,107.587177455425 -6.89400017991102,107.587821185589 -6.89444220723068,107.588432729244 -6.8949028738178,107.588969171047 -6.8953395746776,107.589623630047 -6.89575497268289,107.590693831444 -6.89633280135378,107.591761350632 -6.89688400131849,107.592195868492 -6.89718223484841,107.592641115189 -6.8974538402212,107.593968808651 -6.898508306663,107.594993412495 -6.89940034083481,107.595481574535 -6.89979709579219,107.595696151257 -6.89992757218202,107.596141397953 -6.90009000192325,107.596575915813 -6.90016455981857,107.598195970058 -6.9001938504171,107.599598765373 -6.9001911876355,107.600988149643 -6.90019651319872,107.602777183056 -6.90020716432493,107.60369181633 -6.90021515266942,107.603951990604 -6.9001938504171,107.604188024998 -6.90012994365434,107.604611814022 -6.89998082784103,107.604904174805 -6.8998343747644,107.60546207428 -6.89954146847519,107.605671286583 -6.8994828871956,107.607186734676 -6.89860949271326,107.607996761799 -6.89824469027265,107.608358860016 -6.89811687621239,107.608694136143 -6.89805296916933,107.609131336212 -6.89803432961348,107.609555125237 -6.89810089945244,107.611019611359 -6.89862546945605,107.611464858055 -6.89877192290661,107.611904740334 -6.89887044611148,107.612205147743 -6.89892636467809,107.612776458263 -6.89894234141022,107.615729570389 -6.89904619015579,107.61640816927 -6.8990701552477,107.618057727814 -6.89930181774016,107.619133293629 -6.89927518987324,107.619803845882 -6.8992512247917,107.620342969894 -6.89927785265998,107.622416317463 -6.89921128298648,107.626005113125 -6.89923258528305,107.626359164715 -6.89928584102019,107.627145051956 -6.89946957326742,107.62855052948 -6.89984236311519,107.628888487816 -6.89986100259986,107.629432976246 -6.89983703754799,107.629953324795 -6.89969590999571,107.63032078743 -6.89953614290461,107.631753087044 -6.89848700433389,107.633161246777 -6.89803965520095,107.63388812542 -6.89781598047599,107.634172439575 -6.89774941059701,107.634346783161 -6.89775473618765,107.635832726955 -6.89811687621239,107.63734549284 -6.8985056438719,107.638801932335 -6.89885446937695,107.641800642014 -6.89958141025257,107.643415331841 -6.89994088609733,107.643707692623 -6.89997017670971,107.643997371197 -6.90001011845092,107.644592821598 -6.90011929252639,107.645359933376 -6.90041752401882,107.647731006145 -6.90156518095595,107.650818228722 -6.90178885390974,107.653937637806 -6.90197258518556,107.655377984047 -6.90207643326645,107.656837105751 -6.90211903760076,107.657298445702 -6.9021722930132,107.657631039619 -6.90218560686538,107.66013354063 -6.90225750166067,107.660444676876 -6.90235069860127,107.661423683167 -6.90347438598344,107.66165971756 -6.90359421030992,107.662770152092 -6.90374598774653,107.663818895817 -6.90384717267725,107.665393352509 -6.90401226383351,107.666455507278 -6.90411611146682,107.667520344257 -6.90419599424615,107.669314742088 -6.90420131976429,107.671122550964 -6.90424126114845,107.671484649181 -6.90431049287305,107.67173409462 -6.90439037561956,107.672493159771 -6.90474984781202,107.672672867775 -6.90484038150634,107.672884762287 -6.90491227589831,107.6730671525 -6.90491760140837,107.67448335886 -6.90458209415619,107.674773037434 -6.90459008242687,107.675711810589 -6.90468860442077,107.676830291748 -6.90474185954407,107.677616178989 -6.90475783607989,107.679609060287 -6.9050107978251,107.680596113205 -6.9051412727777,107.681569755077 -6.90528772421218,107.681859433651 -6.90537825780357,107.683313190937 -6.90604660819215,107.684032022953 -6.90637945165893,107.684777677059 -6.90670164391169,107.687274813652 -6.90773212509787,107.687612771988 -6.9078625992998,107.687918543816 -6.90805697916653,107.688430845737 -6.90865343195754,107.688878774643 -6.90926586037972,107.689289152622 -6.90990491527887,107.689667344093 -6.91049337756791,107.689782679081 -6.910621188285,107.691008448601 -6.91208568361838,107.691544890404 -6.91236260586217,107.692413926125 -6.91264219065526,107.693865001202 -6.91310816494284,107.696748375893 -6.91401614780608,107.69939571619 -6.9140880408028,107.70288258791 -6.9142238386557,107.704271972179 -6.91555252539224,107.704781591892 -6.91610370296187,107.705846428871 -6.9171235129044,107.706723511219 -6.9179329688369,107.708016335964 -6.91908590860829,107.708882689476 -6.9203480149685,107.70938962698 -6.92102166951374,107.709657847881 -6.92148231021059,107.70977050066 -6.9219030105698,107.709867060184 -6.9223343611817,107.710060179234 -6.92319173591856,107.71050542593 -6.92488251693668,107.71077901125 -6.92600615073407,107.711028456688 -6.92712711922488,107.711130380631 -6.92755313980532,107.711232304573 -6.92782472772446,107.711409330368 -6.92817619421116,107.712318599224 -6.93013854394678,107.712694108486 -6.93093998972554,107.712817490101 -6.93111838444767,107.713005244732 -6.93133671819482,107.713450491428 -6.93159499091147,107.714075446129 -6.93176539757485,107.714947164059 -6.93204497087349,107.715499699116 -6.93224999118708,107.71575987339 -6.93238844641335,107.715912759304 -6.93264671855358,107.716435790062 -6.93378364680737,107.716591358185 -6.93409516999523,107.7166852355 -6.93421764914089,107.716840803623 -6.93431616495233,107.717248499393 -6.93445461957142,107.717801034451 -6.93476081714222,107.718214094639 -6.93483536956413,107.718557417393 -6.93496051110292,107.71891951561 -6.93505103900388,107.719936072826 -6.93479809335463,107.720284759998 -6.93473152868754,107.720649540424 -6.93461970002563,107.720925807953 -6.93458242379909,107.724109590054 -6.93305143337524,107.724359035492 -6.93297688067106,107.7253434062 -6.93314994943054,107.725608944893 -6.93313929904718,107.725831568241 -6.93305143337524,107.726059556007 -6.93302480741083,107.72629827261 -6.93306474635689,107.726751565933 -6.93323781508411,107.727988064289 -6.9340525685458,107.728130221367 -6.93426557575444,107.728197276592 -6.93461970002563,107.7282589674 -6.93563148219072,107.72836625576 -6.93591904093576,107.728618383408 -6.93610009635182,107.72931843996 -6.93642759347172,107.729503512383 -6.93646486955223,107.73226082325 -6.93767367799241,107.734119594097 -6.93849641147757,107.737037837505 -6.93887449563908,107.737437486649 -6.93889313358285,107.737847864628 -6.9388904710195,107.738451361656 -6.93914075190866,107.739186286926 -6.93961202513664)"
Jalan Soekarno-Hatta,Nasional,#ff0000,"LINESTRING (107.718911468983 -6.93505103900387,107.718517184258 -6.93518683082269,107.704899609089 -6.93626251365114,107.703797221184 -6.93635037872414,107.702686786652 -6.93643558120351,107.698084115982 -6.93677905354217,107.691252529621 -6.93725299170667,107.690150141716 -6.9373355314506,107.688473761082 -6.93745268461068,107.685732543468 -6.93764971485964,107.677546441555 -6.93824346767886,107.663910090923 -6.93922329132165,107.662603855133 -6.93936973218005,107.661262750626 -6.93956676162675,107.659540772438 -6.93994750748603,107.659159898758 -6.94004069698509,107.658508121967 -6.94023772615095,107.655828595161 -6.94108974321597,107.652888894081 -6.94202696020596,107.646878063679 -6.94393600153971,107.644254863262 -6.94479599949812,107.6419454813 -6.94556014497166,107.641272246838 -6.9457198964817,107.639987468719 -6.94598881140104,107.637973129749 -6.9466544417282,107.636165320873 -6.94722155802359,107.634523808956 -6.94773276085864,107.631428539753 -6.94867795213662,107.630127668381 -6.94904005308051,107.628955543041 -6.94927169103805,107.628362774849 -6.94939150372992,107.627748548985 -6.94946339133039,107.626662254333 -6.94955391644125,107.626007795334 -6.94955924144723,107.624639868736 -6.94951664139771,107.623950541019 -6.94946605383389,107.621946930885 -6.94926902853344,107.620133757591 -6.94913856578905,107.618025541306 -6.94900544050236,107.614324092865 -6.94874451483105,107.612446546555 -6.94860872692442,107.60973751545 -6.94840371373616,107.602597475052 -6.94791913675399,107.598952353001 -6.94766353550725,107.596683204174 -6.94750644717209,107.595253586769 -6.94732007111316,107.594239711761 -6.94717363272931,107.593547701836 -6.9469979066085,107.591943740845 -6.94656657857899,107.589663863182 -6.94562670810743,107.586968243122 -6.94452175883382,107.586573958397 -6.94435668185203,107.585670053959 -6.94384281281205,107.584430873394 -6.94313724041784,107.583607435226 -6.94245829239802,107.582674026489 -6.94157432723361,107.582129538059 -6.94099389137315,107.5816360116 -6.94035221603376,107.58065700531 -6.93904756223145,107.579750418663 -6.93771095397428,107.578841149807 -6.93637434192301,107.577435672283 -6.93430817718461,107.576553225517 -6.93243903581278,107.57649153471 -6.93222070257631,107.575987279415 -6.9304873460977,107.575909495354 -6.93008529168728,107.575708329678 -6.92883918709785,107.575466930866 -6.92717238392981,107.574946582317 -6.92385739845986,107.574439644814 -6.92053173903071,107.57431358099 -6.91977554098271,107.574305534363 -6.91846816755661,107.574294805527 -6.91739510682589)"
Jalan Rajawali,Nasional,#ff0000,"LINESTRING (107.569080591202 -6.91044811126399,107.569407820702 -6.91063716462221,107.569963037968 -6.91086882145103,107.571068108082 -6.91129485670189,107.573213875294 -6.91214958876595,107.575804889202 -6.91319337162001)"
Jalan Sudirman,Nasional,#ff0000,"LINESTRING (107.604112923145 -6.92081398165367,107.603477239609 -6.92073676434907,107.603133916855 -6.92066220969814,107.602208554745 -6.9205770043684,107.600741386414 -6.92035866564071,107.600427567959 -6.92032937629151,107.598335444927 -6.92011902545748,107.59723842144 -6.91995393992716,107.59329020977 -6.91952524981269,107.589354068041 -6.91905661918012,107.586517632008 -6.9186944951909,107.586335241795 -6.91872378464153,107.585659325123 -6.91864124163965,107.583803236485 -6.91842556469567,107.581941783428 -6.91819923693247,107.578251063824 -6.91776255717693,107.574579119682 -6.91729658748026,107.574463784695 -6.91740842024939,107.574351131916 -6.91741907098793,107.574208974838 -6.91734451581313,107.574171423912 -6.91726197257016,107.574048042297 -6.91724599645695,107.57393270731 -6.91719274274236,107.573750317097 -6.91706227111622,107.572937607765 -6.91642855127654,107.572427988052 -6.91603713565668,107.57224291563 -6.91584009637837,107.572063207626 -6.91561376737618,107.571789622307 -6.91510785509685,107.571701109409 -6.91487353764705,107.571360468864 -6.91430105702521,107.570566534996 -6.91303760315166,107.569796741009 -6.91175018145177,107.569281756878 -6.91089012322269,107.569051086903 -6.91046941305462)"
Jalan Pasirkaliki,Nasional,#ff0000,"LINESTRING (107.598252296448 -6.91634334518282,107.59816378355 -6.91534749782301,107.59813696146 -6.91482028366497,107.598128914833 -6.91447146993399,107.598128914833 -6.91393094127724,107.598096728325 -6.91338774929483,107.59805649519 -6.91284455668802,107.598024308681 -6.9123759194275,107.597965300083 -6.91176882046727,107.597925066948 -6.91086882145103,107.597895562649 -6.91041882130032,107.597849965096 -6.90997148344786,107.597748041153 -6.90849366789083,107.597635388374 -6.9070611143479,107.597581744194 -6.90698922028251,107.59756565094 -6.90678152625446,107.597546875477 -6.90641406736601,107.597549557686 -6.90557796419389,107.597573697567 -6.90543151284922,107.597560286522 -6.90433845183584,107.597434222698 -6.90142139114412,107.597367167473 -6.9005666396946,107.597372531891 -6.90018319929057)"
Jalan Nurtanio,Nasional,#ff0000,"LINESTRING (107.57926762104 -6.907649580176,107.579463422298 -6.90691466346242,107.579635083675 -6.90624098880518,107.579967677593 -6.9042119708004)"
Jalan Abdul Rahman Saleh,Nasional,#ff0000,"LINESTRING (107.579299807549 -6.9076708820927,107.579538524151 -6.90750579221321,107.579796016216 -6.90741792176998,107.580080330372 -6.90743389821542,107.580667734146 -6.90752443139603,107.581281960011 -6.90759898812,107.582687437534 -6.90768419579014,107.583011984825 -6.90763626647758,107.58534014225 -6.90730342389521,107.587121129036 -6.90694129089952,107.587802410126 -6.90676821253161)"
Jalan Gede Bage,Nasional,#ff0000,"LINESTRING (107.692582905293 -6.93716512680207,107.692462205887 -6.93809170133443,107.692354917526 -6.93862155204351,107.692070603371 -6.94006732255286,107.691896259785 -6.94096460330618,107.69188284874 -6.94145717509925,107.691593170166 -6.94208553620586,107.691292762756 -6.94271389647341,107.689592242241 -6.94252485597269,107.689447402954 -6.9425461563146,107.689334750175 -6.94262070750367,107.689283788204 -6.94281241050707,107.689034342766 -6.9448359374456,107.688878774643 -6.9458104223133,107.68875002861 -6.94686478071566,107.688605189323 -6.94727214582892,107.688286006451 -6.9478312738411,107.687776386738 -6.9487498398462,107.686759829521 -6.95058164147742,107.686663269997 -6.95192620063133,107.686526477337 -6.953292055793,107.686378955841 -6.95464193213897,107.686295807362 -6.95589063086687,107.686496973038 -6.95667872046593,107.686706185341 -6.95796735060938,107.686759829521 -6.96160425048768,107.686958312988 -6.96557658622796)"
Jalan Buahbatu,Provinsi,#0000ff,"LINESTRING (107.618036270142 -6.93198639362465,107.623003721237 -6.93723701627069,107.627981901169 -6.94234912811519,107.632251977921 -6.94683283049578,107.638506889343 -6.95321218133145,107.639096975327 -6.95445822138501,107.639547586441 -6.9580152748027,107.637938261032 -6.9657682798632)"
Jalan Cicendo,Provinsi,#0000ff,"LINESTRING (107.604437470436 -6.90719158873495,107.604485750198 -6.90883183510151,107.604212164879 -6.90981171982654,107.603960037231 -6.91267680590384)"
Jalan Kebon Kawung,Provinsi,#0000ff,"LINESTRING (107.598048448563 -6.91238390756651,107.600231766701 -6.91246911437427,107.603954672813 -6.91268213132647)"
Jalan Pasir Koja,Provinsi,#0000ff,"LINESTRING (107.57597386837 -6.93039681731996,107.57850587368 -6.92941431270225,107.581043243408 -6.92843979390426,107.583594024181 -6.92745728520826,107.584849298 -6.9269753493001,107.585466206074 -6.92672506194908,107.586083114147 -6.92650140079962,107.58618503809 -6.92648542499916,107.58800894022 -6.92588633209168,107.588644623756 -6.92579313979325,107.589256167412 -6.92576118814382,107.594564259052 -6.92634164277076,107.597235739231 -6.92663186981635,107.598563432693 -6.92677831458808,107.599899172783 -6.92690612089715)"
Jalan Peta,Provinsi,#0000ff,"LINESTRING (107.58555740118 -6.92669577299506,107.585589587688 -6.92680760353696,107.586085796356 -6.92742267104343,107.586641013622 -6.92811761648156,107.587080895901 -6.92866345413435,107.58768171072 -6.9295634192259,107.588550746441 -6.93084946103475,107.589787244797 -6.93245501141148,107.590798437595 -6.93370110644101,107.591310739517 -6.93433214048738,107.591517269611 -6.93458242379909,107.591844499111 -6.93485933284008,107.592032253742 -6.93502175056722,107.593394815922 -6.93592436609606,107.594148516655 -6.9364196057398,107.594996094704 -6.93697608407298,107.596374750137 -6.93753256174858,107.59713113308 -6.93770562883419,107.5980296731 -6.93770296626413,107.60096937418 -6.93718376481351,107.601234912872 -6.93715713908266,107.601478993893 -6.93714382621667,107.60178476572 -6.93714915136312,107.602055668831 -6.93715181393632,107.602981030941 -6.9372290285525,107.606210410595 -6.93753256174858)"
Jalan BKR,Provinsi,#0000ff,"LINESTRING (107.606213092804 -6.93753256174858,107.60842859745 -6.93759113830775,107.609077692032 -6.93762575172566,107.610107660294 -6.93767101542216,107.612722814083 -6.93773757967381,107.614085376263 -6.93783343217967,107.616209685802 -6.93791330925297,107.61738717556 -6.93796389805905,107.618406414986 -6.93803312483752,107.619586586952 -6.93808637619864,107.619959414005 -6.9380384499739,107.620332241058 -6.93796922319622,107.620782852173 -6.93785739530308,107.621364891529 -6.93763640200757,107.622075676918 -6.93730890572833,107.622225880623 -6.93724234141608,107.622692584991 -6.93691218228823)"
Jalan Pelajar Pejuang 45,Provinsi,#0000ff,"LINESTRING (107.622689902782 -6.93690951971368,107.622952759266 -6.93673645233548,107.623430192471 -6.93627848912017,107.623870074749 -6.93582851320163,107.624782025814 -6.93492323490334,107.625055611134 -6.93461171226304,107.625227272511 -6.93428953905938,107.625428438187 -6.93349342416493,107.625629603863 -6.93267334453937,107.625868320465 -6.93165889341746,107.626133859158 -6.93064710272186,107.626654207706 -6.9286022138438,107.62770563364 -6.92451240948379)"
Jalan Laswi,Provinsi,#0000ff,"LINESTRING (107.62770563364 -6.92450708419457,107.627904117107 -6.92377219370698,107.628239393234 -6.92333818175821,107.629333734512 -6.92265654255433,107.630192041397 -6.92226246944042,107.630792856216 -6.92096309089579,107.631340026855 -6.91864656699504,107.62999355793 -6.91581879482984)"
Jalan Ahmad Yani,Provinsi,#0000ff,"LINESTRING (107.617869973183 -6.92225714412581,107.619071602821 -6.92155952739323,107.621871829033 -6.92006843473658,107.624591588974 -6.91866254306087,107.625219225883 -6.91825249053358,107.628416419029 -6.91661760224207,107.630717754364 -6.91539276365764,107.63320684433 -6.91406673917528,107.636978030205 -6.91205905647098,107.640169858932 -6.91034426502098,107.643753290176 -6.9084324249843,107.647427916527 -6.90648329877262,107.651059627533 -6.9045554665863,107.653264403343 -6.90338385202779,107.655678391457 -6.90211104928835)"
Jalan Supratman,Provinsi,#0000ff,"LINESTRING (107.634333372116 -6.91347561862845,107.630303353071 -6.90735002187084,107.628295719624 -6.90427587701201,107.627209424973 -6.90256105734262,107.626868784428 -6.90198323627184,107.626394033432 -6.90133884512132,107.626249194145 -6.90121369467216)"
Jalan Dipenogoro,Provinsi,#0000ff,"LINESTRING (107.612682580948 -6.90025243160871,107.613471150398 -6.9004974074224,107.615064382553 -6.90063054639841,107.61594414711 -6.90134949622184,107.617920935154 -6.9012962407168,107.619122564793 -6.90122967132708,107.619205713272 -6.90125896185971,107.619672417641 -6.90123765965435,107.62092769146 -6.90123233410286,107.623084187508 -6.90116842748028,107.624508440495 -6.90112582306044,107.625425755978 -6.90110718362556,107.625951468945 -6.90111783473129,107.626023888588 -6.90113381138945,107.626104354858 -6.90115511359949,107.626241147518 -6.9012083691204)"
Jalan Aria Jipang,Provinsi,#0000ff,"LINESTRING (107.615134119987 -6.90057729081249,107.616249918938 -6.89938968969042,107.616630792618 -6.89922459692192)"
Jalan Gasibu Barat,Provinsi,#0000ff,"LINESTRING (107.618089914322 -6.89946424769604,107.618092596531 -6.90128292683961)"
Jalan Sentot Alibasyah,Provinsi,#0000ff,"LINESTRING (107.619270086288 -6.89941631755091,107.619323730469 -6.90115245082329)"
Jalan Kopo,Provinsi,#0000ff,"LINESTRING (107.579691410065 -6.96046472705677,107.588800191879 -6.94692868114893,107.593220472336 -6.94003803442823,107.594996094704 -6.93697075892459,107.595516443253 -6.93625718849467,107.598244249821 -6.92674902563738)"
Jalan Moh. Toha,Provinsi,#0000ff,"LINESTRING (107.606210410595 -6.93753522431961,107.606172859669 -6.93795857292183,107.606172859669 -6.938408546805,107.606213092804 -6.9387174043694,107.606331110001 -6.93906886273072,107.606607377529 -6.93992088191148,107.606789767742 -6.94061314636029,107.606948018074 -6.94111903127516,107.607959210873 -6.94407977839763,107.610083520412 -6.9503553291624,107.612189054489 -6.95664677091331,107.613621354103 -6.96088539257075)"
Jalan Setiabudhi,Provinsi,#0000ff,"LINESTRING (107.597860693932 -6.84321223040697,107.598182559013 -6.84338533192495,107.598649263382 -6.84353712858906,107.600027918816 -6.84391795158658,107.600186169147 -6.84403246473621,107.600242495537 -6.84414964095392,107.600245177746 -6.84426948023773,107.600143253803 -6.84450116943445,107.599952816963 -6.8446929121329,107.59947270155 -6.84509237584063,107.599411010742 -6.84518824708073,107.599408328533 -6.84528411830159,107.599427103996 -6.84535868479338,107.599542438984 -6.84545721906823,107.599706053734 -6.84555841641043,107.599901854992 -6.84563298285937,107.599955499172 -6.84571820164389,107.599979639053 -6.8458034204132,107.599952816963 -6.84589929151047,107.599419057369 -6.84646652844195,107.599319815636 -6.84664761802458,107.599148154259 -6.84722018022336,107.599073052406 -6.84737197566782,107.598694860935 -6.84765692488052,107.598523199558 -6.84782203556141,107.59846419096 -6.8479152431786,107.598434686661 -6.84799247233335,107.598418593407 -6.84808567991727,107.59849101305 -6.84865291424956,107.598582208157 -6.84893253655953,107.598552703857 -6.84909764679895,107.598472237587 -6.84918819109952,107.598322033882 -6.84925210471311,107.598195970058 -6.8492627569812,107.598040401936 -6.84923346324336,107.597603201866 -6.84900443941276,107.597501277924 -6.84892721042183,107.597404718399 -6.84891655814625,107.597310841084 -6.84894318883477,107.597233057022 -6.84900177634432,107.596997022629 -6.85009363315995,107.596710026264 -6.85133994471406,107.596133351326 -6.85382190588378,107.595850378275 -6.85505089796705,107.595672011375 -6.85587776951382,107.595567405224 -6.85627988688119,107.594937086105 -6.85872720314342,107.594658136368 -6.86058332036841,107.594722509384 -6.86082299064486,107.59478956461 -6.8610493457952,107.594827115536 -6.86112390982116,107.594907581806 -6.86120912583654,107.595575451851 -6.86174172558711,107.596192359924 -6.86221041287478,107.596229910851 -6.8622743247419,107.596136033535 -6.8625486130742,107.596023380756 -6.862817575266,107.595870494843 -6.86304126647809,107.595666646957 -6.86318506791607,107.595138251781 -6.86335816218195,107.594604492188 -6.86348332261192,107.594518661499 -6.86354989729529,107.594419419765 -6.86377625114915,107.594333589077 -6.86402390877181,107.594178020954 -6.86458579816905,107.594159245491 -6.86474025106247,107.593880295753 -6.86666824503101,107.59380787611 -6.86740855003156,107.593512833118 -6.87007949698542,107.593555748463 -6.87046029876907,107.593660354614 -6.87089968506359,107.593756914139 -6.87122190142153,107.593799829483 -6.87131776740322,107.593915164471 -6.87156542109983,107.594062685966 -6.87177845643455,107.594282627106 -6.87209800925765,107.594507932663 -6.87240158424063,107.594990730286 -6.87298077281514,107.595470845699 -6.87357593827032,107.595706880093 -6.87386619766266,107.595918774605 -6.87418308615465,107.596881687641 -6.8756929637146,107.597214281559 -6.8759273005425,107.597412765026 -6.87613767100546,107.597506642342 -6.87622022141486,107.597503960133 -6.87681138844358,107.597452998161 -6.87721082520872,107.597544193268 -6.87756499219288,107.59791970253 -6.87850499802072,107.598024308681 -6.87873667055939,107.598185241222 -6.87913876860537,107.598316669464 -6.87942902459916,107.598984539509 -6.88080574097903,107.599673867226 -6.88183361559608,107.600116431713 -6.88225435119638,107.600585818291 -6.88262449170095,107.601288557053 -6.88327955980021)"
Jalan Sukajadi,Provinsi,#0000ff,"LINESTRING (107.595862448215 -6.87410053539138,107.59601265192 -6.87486213221172,107.596127986908 -6.87591931178891,107.596294283867 -6.87776737320814,107.596318423748 -6.87802567516814,107.596315741539 -6.87830528022427,107.596323788166 -6.87924262168775,107.596372067928 -6.88012936631248,107.596471309662 -6.88250466207281,107.596538364887 -6.8840091874318,107.596541047096 -6.88420890282884,107.596597373486 -6.88492521469491,107.596406936646 -6.88571874851082,107.596406936646 -6.88591313746468,107.596436440945 -6.88604628053782,107.596696615219 -6.88674128677299,107.596771717072 -6.88791560533932,107.596873641014 -6.88908725815419,107.596983611584 -6.89144919491479,107.597120404243 -6.89379381159349,107.59721159935 -6.89497476971873,107.597257196903 -6.89613841667219,107.597273290157 -6.8962049867776,107.597324252129 -6.896777489298,107.597326934338 -6.89806095755018,107.5973752141 -6.89876393453774,107.597399353981 -6.89902488785086,107.597380578518 -6.9001938504171)"
Jalan Sukawangi,Provinsi,#0000ff,"LINESTRING (107.597820460796 -6.87826267375016,107.596323788166 -6.87830794312876)"
Jalan Cimalaya,Provinsi,#0000ff,"LINESTRING (107.616933882236 -6.90132286847007,107.616947293282 -6.90212702591298,107.616971433163 -6.90308562240426,107.617035806179 -6.90322408618141,107.617236971855 -6.90346639769394)"
Jalan Cilaki,Provinsi,#0000ff,"LINESTRING (107.619677782059 -6.90123765965435,107.619886994362 -6.90174092399996,107.620042562485 -6.90194862024059,107.620474398136 -6.90216164193117,107.620739936829 -6.90237732629522,107.62106180191 -6.90268088190032,107.621619701385 -6.90304834368811)"
Jalan Cisanggarung (Depan LAN),Provinsi,#0000ff,"LINESTRING (107.621067166328 -6.90269153297064,107.62068092823 -6.90306698304656,107.620367109776 -6.90335189886281,107.620149850845 -6.90340515413656)"
Jalan Cimandiri,Provinsi,#0000ff,"LINESTRING (107.617247700691 -6.90347172322029,107.617481052876 -6.90366344212913,107.617690265179 -6.90375930155443,107.618462741375 -6.90374066222326,107.619744837284 -6.9037033835587,107.6198387146 -6.90368208146335,107.619935274124 -6.90360752412208,107.620133757591 -6.90340515413656)"
